Fighter,Division,Stance,top10_wins,elo_avg,elo_max,years_in_top10,years_champ,ko_percentage,win_percentage
Muhammad Ali,Heavyweight,Orthodox,0.416666666667,1397.96359474,1535.0568565,15,11,0.55,0.916666666667
Floyd Mayweather Jr,Welterweight,Orthodox,0.369565217391,1354.87373306,1479.58574307,15,7,0.45652173913,1.0
Oscar De La Hoya,Welterweight,Orthodox,0.363636363636,1340.21798017,1470.14153975,14,3,0.522727272727,0.863636363636
Raul Antonio Lucena,NA,NA,0.333333333333,1232.32591206,1267.81924315,0,0,0.222222222222,0.888888888889
Pernell Whitaker,Welterweight,Southpaw,0.311111111111,1329.62854411,1425.18390766,14,3,0.355555555556,0.866666666667
Vicente Saldivar,Featherweight,Southpaw,0.25641025641,1328.22572822,1439.82181024,9,3,0.615384615385,0.923076923077
Sugar Ray Leonard,Welterweight,Orthodox,0.25641025641,1308.00459631,1383.94026791,6,3,0.564102564103,0.897435897436
Alex Murphy,NA,NA,0.25,1222.50942117,1322.92236214,2,0,0.25,0.5
Emile Griffith,Welterweight,Orthodox,0.243243243243,1340.31957585,1463.2102471,16,6,0.198198198198,0.756756756757
Timothy Bradley,Welterweight,Orthodox,0.242424242424,1317.41214817,1414.80379363,6,0,0.272727272727,0.909090909091
Dick Finnegan,Featherweight,Southpaw,0.228571428571,1302.27272981,1387.60378736,0,0,0.228571428571,0.814285714286
Roy Jones Jr.,Cruiserweight,Orthodox,0.227272727273,1369.99729632,1507.83826104,17,5,0.545454545455,0.878787878788
Michael Spinks,Light Heavyweight,Orthodox,0.225806451613,1320.51385515,1418.32804781,8,5,0.645161290323,0.967741935484
Naseem Hamed,Featherweight,Southpaw,0.222222222222,1348.58061953,1457.88916586,9,0,0.805555555556,0.972222222222
Shane Mosley,Light Middleweight,Orthodox,0.210526315789,1314.96658674,1438.65605568,18,3,0.614035087719,0.80701754386
Ramon Arias,NA,NA,0.208333333333,1216.91721208,1268.66691009,6,0,0.125,0.625
George Parkes,NA,NA,0.2,1216.69812517,1292.80774436,3,0,0.2,0.5
Joe Calzaghe,Super Middleweight,Southpaw,0.2,1383.30185291,1512.84611533,12,3,0.666666666667,1.0
Jose Napoles,Welterweight,Orthodox,0.195402298851,1418.94585077,1554.55980223,14,5,0.586206896552,0.919540229885
Joe Louis,Heavyweight,Orthodox,0.19512195122,1336.91127247,1475.45497058,17,12,0.670731707317,0.853658536585
Antonio Tarver,Heavyweight,Southpaw,0.194444444444,1290.44690213,1391.36100067,13,1,0.5,0.805555555556
Joe Frazier,Heavyweight,Orthodox,0.194444444444,1310.93432622,1434.09290823,10,3,0.638888888889,0.861111111111
Wilfredo Gomez,Super Bantamweight,Orthodox,0.191489361702,1317.33071673,1441.28433755,10,5,0.893617021277,0.936170212766
Manny Pacquiao,Welterweight,Southpaw,0.190476190476,1341.48110556,1457.17088808,16,6,0.587301587302,0.888888888889
